Time,wsteth,wbtc,sfrxeth,weth
17572842,2145671139560101092872,3.0723904391663057e+22,1991583405995872082012,1.917085088035061e+21
17578250,2087374446434002704994,2.9858480349003427e+22,1928161779127266233417,1.8536199068664872e+21
17583658,2104243942759041242049,3.0652290768298706e+22,1946789133984395827238,1.8551287077637456e+21
17589067,2082645281983031113334,3.0494948499624955e+22,1922406684033205368795,1.8306578995624482e+21
17594475,2211296337423751062490,3.0426651294807903e+22,2080261733801629542123,1.9925977486721242e+21
17599883,2206903994380780578382,3.0833544995206393e+22,2077322975897213876385,1.988023074885159e+21
17605292,2173344681028424418408,3.0500746998966783e+22,2047303508642429947863,1.898178894678448e+21
17610700,2220610376322514116132,3.1164332312664205e+22,2056537298178707007604,1.9995656519429666e+21
17616109,2195734758852071900223,3.1329877866223887e+22,2041404703823140180107,1.9747481605905735e+21
17621517,2204807653854861144974,3.096059822025477e+22,2033692862558921537622,1.9636531278711405e+21
17626925,2158543236212709902295,3.054950429461161e+22,1952373809432362895448,1.9071055100784125e+21
17632334,2168270713971456281552,3.0733547145627632e+22,2015348784322779370996,1.915116660268848e+21
17637742,2102994953744564384355,2.9950427088916765e+22,1948366188024743011622,1.854005185352749e+21
17643150,2130451882709064329181,3.067878694769916e+22,1963148180795410232232,1.8680044374555346e+21
17648559,2112052809060140578783,3.0199254776618265e+22,1952265832063404072476,1.8470084885988935e+21
17653967,2122423887957789368952,3.046276474703829e+22,1964075630240545623653,1.9002290039167624e+21
17659375,2105769637266068044130,2.998889075949426e+22,1950298020452764115197,1.841938276122585e+21
17664784,2122532917180689728077,3.054366209123414e+22,1973386270843529884713,1.893911365150569e+21
17670192,2107080553306888677896,3.023412984543145e+22,1948277642310300878653,1.8504434418637005e+21
17675600,2143083056139343999188,3.088133917985892e+22,1986464878735827854404,1.9126213889110327e+21
17681009,2111955769007521433074,3.034873660606871e+22,1957091406843538218150,1.8590606037113131e+21
17686417,2321665745504947277177,3.1413909938398214e+22,2181937727853941647066,2.0767667255563872e+21
17691825,2240225550124192775122,3.1190502107993663e+22,2085408594735870509493,2.0724222264068884e+21
17697234,2192014411490213445183,3.0403447928328513e+22,2025739076090193165072,1.9069025892429668e+21
