User,Time,Loss,Collateral,Stablecoin,Debt,N,Health,NewDebt,N1,N2
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17690990,0.0,11654173110,0,2606668677690713198831192,10,0.04152061916527363,2606668677690713198831192,16,25
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17696381,0.0,11654173110,0,2506487916437911946066670,10,0.040611269602231,2506487916437911946066670,20,29
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17701772,0.0,11654173110,0,2506821371668625933115493,10,0.040611269602231,2506821371668625933115493,20,29
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17707163,0.0,11654173110,0,2507144819234401192670015,10,0.040611269602231,2507144819234401192670015,20,29
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17712554,0.0,11654173110,0,2507461619272665654437215,10,0.040611269602231,2507461619272665654437215,20,29
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17717945,0.0,11654173110,0,2507774242948356789596081,10,0.040611269602231,2507774242948356789596081,20,29
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17723336,0.0,11654173110,0,2508083891523896395194217,10,0.040611269602231,2508083891523896395194217,20,29
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17728727,0.0,11654173110,0,2508391358167752208912311,10,0.040611269602231,2508391358167752208912311,20,29
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17734118,0.0,11654173110,0,2508641038344204069409802,10,0.040611269602231,2508641038344204069409802,20,29
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17739509,0.0,11654173110,0,2508820083967863335394775,10,0.040611269602231,2508820083967863335394775,20,29
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17744900,0.0,11654173110,0,2509000291120237761609459,10,0.040611269602231,2509000291120237761609459,20,29
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17750291,0.0,11654173110,0,2509181757547274237375398,10,0.040611269602231,2509181757547274237375398,20,29
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17755681,0.0,11654173110,0,2509360659894766410062013,10,0.040611269602231,2509360659894766410062013,20,29
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17761072,0.0,11654173110,0,2509522837395130607017611,10,0.040611269602231,2509522837395130607017611,20,29
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17766463,0.0,11654173110,0,2509686986800202245062302,10,0.040611269602231,2509686986800202245062302,20,29
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17771854,0.0,11654173110,0,2509853704918197893352301,10,0.040611269602231,2509853704918197893352301,20,29
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17777245,0.0,11654173110,0,2510023672297784294258111,10,0.040611269602231,2510023672297784294258111,20,29
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17782636,0.0,11654173110,0,2510155897713958246872056,10,0.040611269602231,2510155897713958246872056,20,29
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17788027,0.0,11654173110,0,2510188548595582770794379,10,0.040611269602231,2510188548595582770794379,20,29
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17793418,0.0,11654173110,0,2510219518409014333976663,10,0.040611269602231,2510219518409014333976663,20,29
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17798809,0.0,11654173110,0,2510252076379453452162717,10,0.040611269602231,2510252076379453452162717,20,29
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17804200,0.0,11654173110,0,2510279589055264749990445,10,0.040611269602231,2510279589055264749990445,20,29
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17809591,0.0,11654173110,0,2510295851608860510986117,10,0.040611269602231,2510295851608860510986117,20,29
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17814982,0.0,11654173110,0,2510298651887200035973878,10,0.040611269602231,2510298651887200035973878,20,29
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17820373,0.0,11654173110,0,2510301941526431910922238,10,0.040611269602231,2510301941526431910922238,20,29
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17825764,0.0,11654173110,0,2510309608331309500778532,10,0.040611269602231,2510309608331309500778532,20,29
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17831155,0.0,11654173110,0,2510322809356296580504247,10,0.040611269602231,2510322809356296580504247,20,29
0x59cCC4039f832996D0cf47d75BbE33ECd00EF2A7,17836546,0.0,11654173110,0,2510384741294443507452331,10,0.040611269602231,2510384741294443507452331,20,29
0x6B5422143e8ABDf03Db19c6058de007d27465Bd3,17432225,0.0,400000000,0,87000171035271748568695,10,0.04093461954127917,87000171035271748568695,19,28
0x6B5422143e8ABDf03Db19c6058de007d27465Bd3,17437615,0.0,600000000,0,131001815423005241423302,10,0.0369627043945357,131001815423005241423302,19,28
0x6B5422143e8ABDf03Db19c6058de007d27465Bd3,17443006,0.0,600000000,0,131003251219239547495906,10,0.0369627043945357,131003251219239547495906,19,28
0x6B5422143e8ABDf03Db19c6058de007d27465Bd3,17448397,0.0,600000000,0,131004099908526374550827,10,0.0369627043945357,131004099908526374550827,19,28
0x6B5422143e8ABDf03Db19c6058de007d27465Bd3,17453788,0.0,600000000,0,131004246045860397430740,10,0.0369627043945357,131004246045860397430740,19,28
0x6B5422143e8ABDf03Db19c6058de007d27465Bd3,17459179,0.0,600000000,0,131004417721332959500190,10,0.0369627043945357,131004417721332959500190,19,28
0x6B5422143e8ABDf03Db19c6058de007d27465Bd3,17464570,0.0,600000000,0,131004817826711582201220,10,0.0369627043945357,131004817826711582201220,19,28
0x6B5422143e8ABDf03Db19c6058de007d27465Bd3,17469961,0.0,600000000,0,131005506744870449400980,10,0.0369627043945357,131005506744870449400980,19,28
0x6B5422143e8ABDf03Db19c6058de007d27465Bd3,17475352,0.0,600000000,0,131008738769417408205466,10,0.0369627043945357,131008738769417408205466,19,28
